subject,price,listId,lastBumpAgeSecs,oldPrice,professionalAd,isFeatured,videoCount,isChatEnabled,url,thumbnail,date,imageCount,location,category,searchCategoryLevelZero,searchCategoryLevelOne,accountActivityStatus,position,olxPay,olxDelivery,vehicleReport,vehicleTags,vehiclePills,tags,priorityAdImage
Rio de Janeiro - Apartamento Padrão - Grajaú,R$ 1.200,1041985166,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-grajau-1041985166,https://img.olx.com.br/thumbs256x256/50/509230895720389.jpg,1654587399,20,"Rio de Janeiro, Grajaú",Apartamentos,1000,1002,{'isOnline': False},0,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '1 quarto'}, {'label': '60m²'}, {'label': 'Condomínio: R$ 704'}]",True
Rio de Janeiro - Apartamento Padrão - Méier,R$ 790,1041984288,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-meier-1041984288,https://img.olx.com.br/thumbs256x256/50/505275539730883.jpg,1654586791,1,"Rio de Janeiro, Méier",Apartamentos,1000,1002,{'isOnline': False},1,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '1 quarto'}, {'label': '52m²'}, {'label': 'Condomínio: R$ 170'}]",True
"Ótimo Apartamento 2 Qtos no Fonseca, Niterói - AP2861.",R$ 750,1041983898,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/otimo-apartamento-2-qtos-no-fonseca-niteroi-ap2861-1041983898,https://img.olx.com.br/thumbs256x256/50/503264774375405.jpg,1654586515,20,"Niterói, Fonseca",Apartamentos,1000,1002,{'isOnline': False},2,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '2 quartos'}, {'label': '57m²'}, {'label': 'Condomínio: R$ 440'}, {'label': '1 vaga'}]",True
"EXCELENTE APARTAMENTO ROCHA MIRANDA, 02 QUARTOS, SALA, COZ, BANHEIRO, ÁREA DE SERVIÇO, VAG",R$ 1.000,1041983718,0,,True,False,0,True,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/excelente-apartamento-rocha-miranda-02-quartos-sala-coz-banheiro-area-de-servico-vag-1041983718,https://img.olx.com.br/thumbs256x256/50/503270534231050.jpg,1654586371,10,"Rio de Janeiro, Turiaçu",Apartamentos,1000,1002,{'isOnline': False},3,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '2 quartos'}, {'label': '60m²'}, {'label': 'Condomínio: R$ 340'}, {'label': '1 vaga'}]",True
Rio de Janeiro - Apartamento Padrão - Pechincha,R$ 1.500,1041983606,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-pechincha-1041983606,https://img.olx.com.br/thumbs256x256/50/507299292901513.jpg,1654586253,20,"Rio de Janeiro, Pechincha",Apartamentos,1000,1002,{'isOnline': False},4,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '2 quartos'}, {'label': '79m²'}, {'label': 'Condomínio: R$ 846'}, {'label': '1 vaga'}]",True
"Mega apartamento de 4 quartos, com planta espetacular com vista Cristo e Lagoa Rodrigo de ",R$ 8.500,1041983537,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/mega-apartamento-de-4-quartos-com-planta-espetacular-com-vista-cristo-e-lagoa-rodrigo-de-1041983537,https://img.olx.com.br/thumbs256x256/50/509237056955712.jpg,1654586182,20,"Rio de Janeiro, Ipanema",Apartamentos,1000,1002,{'isOnline': False},5,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '4 quartos'}, {'label': '240m²'}, {'label': 'Condomínio: R$ 3.200'}, {'label': '3 vagas'}]",False
"Exclusivo apartamento de 3 quartos novíssimo, pronto para morar!",R$ 14.900,1041983475,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/exclusivo-apartamento-de-3-quartos-novissimo-pronto-para-morar-1041983475,https://img.olx.com.br/thumbs256x256/50/504211174074221.jpg,1654586126,20,"Rio de Janeiro, Ipanema",Apartamentos,1000,1002,{'isOnline': False},6,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '3 quartos'}, {'label': '134m²'}, {'label': 'Condomínio: R$ 3.200'}, {'label': '2 vagas'}]",False
"CONJUGADO COM UMA LINDA VISTA, 32M², SOL MANHÃ, DE FRENTE. SALA, QUARTO, BANHEIRO SOCIAL E",R$ 1.300,1041983283,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/conjugado-com-uma-linda-vista-32m-sol-manha-de-frente-sala-quarto-banheiro-social-e-1041983283,https://img.olx.com.br/thumbs256x256/50/501222410270697.jpg,1654586005,9,"Rio de Janeiro, Flamengo",Apartamentos,1000,1002,{'isOnline': False},7,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '1 quarto'}, {'label': '32m²'}, {'label': 'Condomínio: R$ 404'}]",False
"ÓTIMO APARTAMENTO, 87 M2, COMPOSTO POR SALA, 02 QUARTOS, SENDO 01 SUÍTE, BANHEIRO SOCIAL, ",R$ 2.500,1041982987,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/otimo-apartamento-87-m2-composto-por-sala-02-quartos-sendo-01-suite-banheiro-social-1041982987,https://img.olx.com.br/thumbs256x256/50/505228057406737.jpg,1654585776,20,"Rio de Janeiro, Laranjeiras",Apartamentos,1000,1002,{'isOnline': False},8,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '2 quartos'}, {'label': '87m²'}, {'label': 'Condomínio: R$ 793'}, {'label': '1 vaga'}]",False
"Apartamento com 3 dormitórios, 175 m² - venda por R$ 1.400.000,00 ou aluguel por R$ 3.300,",R$ 3.300,1041982622,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-175-m-venda-por-r-1-400-000-00-ou-aluguel-por-r-3-300-1041982622,https://img.olx.com.br/thumbs256x256/50/508201771467127.jpg,1654585456,20,"Niterói, Icaraí",Apartamentos,1000,1002,{'isOnline': False},9,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '3 quartos'}, {'label': '175m²'}, {'label': 'Condomínio: R$ 1.350'}, {'label': '1 vaga'}]",False
Rio de Janeiro - Apartamento Padrão - Ipanema,R$ 15.000,1041982278,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-ipanema-1041982278,https://img.olx.com.br/thumbs256x256/50/507297651883856.jpg,1654585122,20,"Rio de Janeiro, Ipanema",Apartamentos,1000,1002,{'isOnline': False},10,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '3 quartos'}, {'label': '226m²'}, {'label': 'Condomínio: R$ 3.400'}, {'label': '3 vagas'}]",False
RIO DE JANEIRO - Casa Padrão - Humaitá,R$ 16.000,1041981721,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-casa-padrao-humaita-1041981721,https://img.olx.com.br/thumbs256x256/50/500248058056886.jpg,1654584803,20,"Rio de Janeiro, Humaitá",Casas,1000,1002,{'isOnline': False},11,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '5 ou mais quartos'}, {'label': '595m²'}, {'label': 'Condomínio: R$ 0'}, {'label': '4 vagas'}]",False
Casa de condomínio para aluguel e venda tem 60 metros quadrados com 1 quarto,R$ 2.950,1041981599,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-de-condominio-para-aluguel-e-venda-tem-60-metros-quadrados-com-1-quarto-1041981599,https://img.olx.com.br/thumbs256x256/50/505287059145249.jpg,1654584702,18,"Rio de Janeiro, Itanhangá",Casas,1000,1002,{'isOnline': False},12,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '1 quarto'}, {'label': '60m²'}, {'label': 'Condomínio: R$ 300'}, {'label': '3 vagas'}]",False
RIO DE JANEIRO - Apartamento Padrão - Copacabana,R$ 3.000,1041981329,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-copacabana-1041981329,https://img.olx.com.br/thumbs256x256/50/507273772500445.jpg,1654584523,17,"Rio de Janeiro, Copacabana",Apartamentos,1000,1002,{'isOnline': False},13,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '2 quartos'}, {'label': '77m²'}, {'label': 'Condomínio: R$ 811'}]",False
RIO DE JANEIRO - Apartamento Padrão - BARRA DA TIJUCA,R$ 2.500,1041981040,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-barra-da-tijuca-1041981040,https://img.olx.com.br/thumbs256x256/50/504297773927843.jpg,1654584322,20,"Rio de Janeiro, Barra da Tijuca",Apartamentos,1000,1002,{'isOnline': False},14,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '2 quartos'}, {'label': '60m²'}, {'label': 'Condomínio: R$ 817'}, {'label': '1 vaga'}]",False
CASATERESÓPOLIS,R$ 5.500,1041981009,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casateresopolis-1041981009,https://img.olx.com.br/thumbs256x256/50/509254052759058.jpg,1654584298,20,"Teresópolis, Carlos Guinle",Casas,1000,1002,{'isOnline': False},15,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '5 ou mais quartos'}, {'label': '257m²'}, {'label': 'Condomínio: R$ 454'}, {'label': '2 vagas'}]",False
Rio de Janeiro - Kitchenette/Conjugados - Engenho Novo,R$ 600,1041980832,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-kitchenette-conjugados-engenho-novo-1041980832,https://img.olx.com.br/thumbs256x256/50/508272175781410.jpg,1654584196,11,"Rio de Janeiro, Engenho Novo",Apartamentos,1000,1002,{'isOnline': False},16,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '1 quarto'}, {'label': '23m²'}, {'label': 'Condomínio: R$ 0'}]",False
RIO DE JANEIRO - Apartamento Padrão - Ipanema,R$ 9.500,1041980812,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-ipanema-1041980812,https://img.olx.com.br/thumbs256x256/50/508211779756413.jpg,1654584166,20,"Rio de Janeiro, Ipanema",Apartamentos,1000,1002,{'isOnline': False},17,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '3 quartos'}, {'label': '115m²'}, {'label': 'Condomínio: R$ 1.300'}, {'label': '1 vaga'}]",False
"Apartamento para Aluguel - Centro, 1 Quarto,  57 m2",R$ 2.500,1041980157,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-para-aluguel-centro-1-quarto-57-m2-1041980157,https://img.olx.com.br/thumbs256x256/50/503257534891037.jpg,1654583723,20,"Rio de Janeiro, Centro",Apartamentos,1000,1002,{'isOnline': False},18,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '1 quarto'}, {'label': '57m²'}, {'label': 'Condomínio: R$ 600'}]",False
Rio de Janeiro - Apartamento Padrão - Leblon,R$ 15.000,1041980013,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rio-de-janeiro-apartamento-padrao-leblon-1041980013,https://img.olx.com.br/thumbs256x256/50/504280771794454.jpg,1654583636,1,"Rio de Janeiro, Leblon",Apartamentos,1000,1002,{'isOnline': False},19,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '4 quartos'}, {'label': '140m²'}, {'label': 'Condomínio: R$ 3.240'}, {'label': '2 vagas'}]",False
"Rua Campos Sales, junto ao Metrô.",R$ 2.600,1041980015,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/rua-campos-sales-junto-ao-metro-1041980015,https://img.olx.com.br/thumbs256x256/50/504229894566131.jpg,1654583636,20,"Rio de Janeiro, Tijuca",Apartamentos,1000,1002,{'isOnline': False},20,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '3 quartos'}, {'label': '128m²'}, {'label': 'Condomínio: R$ 860'}]",False
"Casa com 4 dormitórios, 191 m² - venda por R$ 950.000,00 ou aluguel por R$ 5.000,00/mês - ",R$ 5.000,1041979894,0,,True,False,0,False,https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/casa-com-4-dormitorios-191-m-venda-por-r-950-000-00-ou-aluguel-por-r-5-000-00-mes-1041979894,https://img.olx.com.br/thumbs256x256/50/509271415752447.jpg,1654583535,19,"Teresópolis, Carlos Guinle",Casas,1000,1002,{'isOnline': False},21,,,"{'enabled': False, 'title': None, 'description': None, 'reportLink': None, 'reportTitle': None, 'tags': None}",[],,"[{'label': '4 quartos'}, {'label': '191m²'}, {'label': 'Condomínio: R$ 330'}, {'label': '1 vaga'}]",False
